text,Gold Label
"JUSTICE FOR ALL: Together, we are going to bring millions of people together to build a vibrant democracy that is based on racial, social, environmental and economic justice. Join me live in New Hampshire:","social cultural, economic, environmental"
"I love the Great State of North Carolina, so much so that I insisted on having the Republican National Convention in Charlotte at the end of August. Unfortunately, Democrat Governor, Roy Cooper  is still in Shutdown mood & unable to guarantee that by August we will be allowed full attendance in the Arena. In other words, we would be spending  millions of dollars building the Arena to a very high standard without even knowing if the Democrat Governor would allow the Republican Party to fully occupy the space. Plans are being made by many thousands of enthusiastic Republicans, and others, to head to beautiful North Carolina in August. They must be immediately given an answer by the Governor as to whether or not the space will be allowed to be fully occupied. If not, we will be reluctantly forced to find, with all of the jobs and economic development it brings, another Republican National Convention site. This is not something I want to do. Thank you, and I LOVE the people of North Carolina!","economic, governance, COVID"
"At the CNN Town Hall, I was asked what changes in American society I’m proudest of. Here’s what I had to say:",no topic
We must end the expansion of presidential war powers that is undermining our constitutional checks and balances.,governance
"The crises we face are real, and I know people are afraid. But 2020 is our chance to choose a president—and I’m ready to get to work for working Americans.

If you want progressive ideas and progressive results, pitch in $2 to my campaign now.",no topic
"Every step of the way, President Trump has ignored the experts, downplayed the threat COVID-19 posed, and misled the American people — and we’re all paying the price every single day.

I promise you, I will do the opposite.",no topic
Our campaign is transcending the partisan divide and building a new coalition of Americans.  I am the only candidate that has a net favorability with all voters — not just one party.,no topic
"WATCH: Military Families for Trump Online with Marc Lotter, Joe Kent, Tiffany Smiley!

Text TRUMP to 88022",no topic
"Let me be clear about one thing: this is not a gleeful time for our country. All 535 congresspeople should be putting patriotism over partisanship, putting our oath to defend the Constitution ahead of our political agendas for the future.",governance
"Our job is to give people hope. If we stand together, there is nothing that we cannot accomplish.",no topic
"Today’s the day! If you’re in a Super Tuesday state, head to IWillVote.com to confirm your polling location and make sure to get out and vote.",no topic
We’ve got 30 days to win Iowa. Make every day count.,no topic
"Trump, who passed a tax cut for billionaires, wants to make half a million kids go hungry every day at school. The cruelty knows no bounds.","economic, health, education"
I do not think you only have a right to health care if you have the money to afford it. I think you have a right to health care because you are a human being.,"health, economic"
Trump’s war with Iran is undermining our national security and putting all Americans in greater danger. Iran is closer now to a nuclear weapon than ever before. And it’s opening the door to resurgence of ISIS/al-Qaeda. #NoWarWithIran #StandWithTulsi,foreign policy
"Tulsi Gabbard LIVE - Tulsi Town Hall - Boulder, CO

Stand with Tulsi - Donate here: https://tulsi.to/donate-now

Join Tulsi Gabbard in Boulder, CO where she is speaking to supporters at the Avalon Ballroom. Tune in to our livestream.

#TulsiGabbard #TULSI2020 #Tulsi",no topic
"Now more than ever, we see the need to end the disgrace of hundreds of thousands of people going bankrupt each year for the ""crime"" of getting sick. We need Medicare for All.","economic, health, social programs"
"It's important to me that we continue to work to lower prescription drug costs, and have plans in place that help seniors. It's also important to me to be a President who represents rural America, and doesn't treat it like flyover country. I'm honored that Joyce Russell, the Mayor of Fertile, Iowa, believes the same. Because of these values, she has endorsed our campaign. And happy belated birthday Joyce! Thanks for being on our team.",health
"Soleimani was a terrorist responsible for killing Americans—but this wasn't authorized by Congress and is an escalation that risks a wider war with Iran. Mr. Trump risks making a bad situation worse with reckless action.

It is essential that we protect American service members and citizens throughout the region while working with our allies to prevent further escalation that could lead to a devastating war that Americans do not want.","foreign policy, governance, military"
"Domestic violence affects an individual victim, but it also affects a whole community.

When we look at gun violence laws, we have to respond to the mass shootings and hate crimes, but we also have to make sure we’re looking at solutions for everyday gun violence. #CNNTownHall","safety, social cultural"
"For the past year, our movement has been guided by these 10 Rules of the Road. Give them a read, and if they speak to you—join in. 

Then, tag a friend in the comments who you think exemplifies one of them.",no topic
"Private equity greed is driving up rents, pushing families from their homes, and breaking up communities. It’s legalized looting—profiting off the backs of families. It's time to rein in private equity, and I've got a plan for that.",economic
"ICYMI: Army for Trump Boot Camp Online with Erin Perrine, Tommy Hicks, and MORE! #ArmyForTrump #TeamTrump",no topic
Democrats care more about the Impeachment Scam than passing USMCA!,foreign policy
"Our nation should be a beacon of hope for the vulnerable and place of refuge.

We have to be a nation of moral authority that stands up for human rights. We must push back against tyranny anywhere and promote peace and prosperity everywhere.

Happening now: facebook.com/StanfordinGovernment",immigration
https://www.press-citizen.com/story/news/2019/10/22/marianne-williamson-works-thwart-new-age-lady-perception/4066339002/,no topic
"Tulsi Gabbard LIVE on the road - Coffee & Toffee with Tulsi - Anamosa, IA

Stand with Tulsi - Donate here: https://tulsi.to/donate-now

Tulsi is speaking at the Lawrence Community Center in Anamosa, IA. Tune in to our livestream.

#TulsiGabbard #TULSI2020 #Tulsi #TownHall #Iowa",no topic
"He’s on vacation, but Logan from Maine still picked up the phone when I called to thank him for being a donor! Logan chipped in just $3—and that $3 makes a difference as we work to close our fundraising gap before the FEC deadline.

Will you chip in $3, too? ewar.ren/Call_Time",no topic
"Being a nation of immigrants is and has always been one of our greatest strengths. Our diversity has always made us stronger, but Donald Trump doesn’t get that.",immigration
"Part of the problem with helping Americans find homes is that there’s a shortage of affordable housing for them to live in.

We’re going to break down the barriers to building affordable housing where people want to live, and ensure that it is accessible to those who need it. https://mikebloom.bg/2tSBKJj","economic, social programs"
"This is a moment for each of us to see and believe in the best in every one of us. To look out for our neighbor. To understand the fear and stress so many are feeling. To care for the elderly couple down the street. To thank the health care workers and the doctors and the nurses and the pharmacists and the grocery store cashiers and the people re-stocking the shelves. To believe in one another.

Because I assure you — when we do that, when we see the best in each of us, we’ll lift this nation up, and we’ll get through this together.",no topic
"We're seeing an unprecedented attack on the ability of women to make their own decisions about their own bodies. We can't stop at nominating justices who support Roe v. Wade. We need to pass a law ensuring every woman can access an abortion, no matter her zip code.","governance, social cultural, health"
Pitch in if you agree: https://joe.link/2T2Vi7D,no topic
"For nearly three decades, Walterboro, South Carolina has been neglected by presidential candidates. Last night, we changed that with a block party that engaged the whole community. Thank you for spending time with me, Walterboro!",no topic
"Paintings like this remind us of the glory of childhood, yet childhood is far from glorious for millions and millions of children in this country and around the world. Protecting our children should be a national priority, yet among other things the United States is number two in the world for hosting child pornography websites. In the last year alone, tech companies reported 45 million impressions of online sexual and violent abuse against children. Our federal authorities know about it, yet only half the $60 million appropriated to stop it has been allocated to the effort. Without the proper funding, efforts are limited and stymied. We must rise up and shout about this. Many times people say “I don’t even want to know about those things because there’s nothing I can do and it just makes me depressed.” But it’s actually the opposite. Power goes where attention goes. Know about such things in order to talk about them in order to change them. Children have no capacity to defend themselves from abuse; it’s our moral and civic responsibility to do for them what they cannot do for themselves. There should be a public outcry about it, a demand that the fight against online abuse of children be properly funded and vigorously pursued. I think women are key here; we should be leading the charge. Given our numbers, American women could and should be a moral force for good. We have tremendous power that we’re not yet using, and number one should be the health and safety of children here and elsewhere. We should be fierce on their behalf, from safety to health to education to freedom. That’s central to my campaign for the presidency. We need a US Dept. of Children and Youth to adequately coordinate efforts to raise up and protect our children. Nothing will more fundamentally disrupt the status quo and release the future to new possibilities than a radical realignment of investment in their good. Right now, we’re actually moving in the opposite direction. Join with me and let’s turn this ship around. Marianne2020.com (see Enough is Enough campaign)","safety, education, health, economic"
"The trial was a charade, and the vote is a disgrace. I have no doubt that historians will ultimately convict this President, along with the Republicans who lack the courage to do it themselves. But we cannot wait for history to render its verdict – that is our job. We must do in November what all but one of the Senate Republicans did not have the courage to do: vote to remove a lawless, reckless president and turn the page on this dark chapter in the life of our country. And the only way to do that is by nominating a candidate who can build the broadest and strongest coalition to take the fight directly to Trump – and win.",governance
Our Democratic candidate must have an authentic connection within the Black community and inspire and generate record turnout from Black voters—that's how we beat Donald Trump and win back the Senate.,"governance, social cultural"
"The medical professionals on the front lines of this crisis are American heroes — risking their lives in order to save others. We owe them more than we could ever repay, but we can start by ensuring they have the protective equipment they need to stay safe. #NationalDoctorsDay","health, covid"
Join me and Julián Castro for our live event in Brooklyn!,no topic
This movement has become something that has already shocked the political world and it's going to keep on growing from here.  Thank you #YangGang for your incredible support. Donate now to keep the momentum going!  https://yang2020.social/feb-fb,no topic
Private companies shouldn't be able to profit off of incarcerated people by charging them to read a book or video call their family. My plan for criminal justice reform will rein in this exploitation.,safety
Only Donald Trump could make the coronavirus about him. This president is dangerous.,"covid, health"
"If we are to realize the dream of gender equality, we can't be disheartened or disengaged. Instead we must recommit to fighting for progress, for our own sake and for the sake of all peoples. We can — and will — do this.

Join us: Joe.link/women",social cultural
Americans have officially lost any belief in the Democrats’ partisan impeachment sham!,governance
"We have to rebuild the middle class. But this time, we have to make sure that people historically left out of the middle class — whether due to race, gender, sexual orientation, disability, or religion — have the chance to be included in our success.",economic
No more ambiguity in the law.  It's time to legalize marijuana at the federal level.  Will you stand with me and add your name to this petition to show your support?  https://yang2020.social/jxm,safety
"Somebody please explain to Cryin’ Chuck Schumer that we do have a military man in charge of distributing goods, a very talented Admiral, in fact. New York has gotten far more than any other State, including hospitals & a hospital ship, but no matter what, always complaining. It wouldn’t matter if you got ten times what was needed, it would never be good enough. Unlike other states, New York unfortunately got off to a late start. You should have pushed harder. Stop complaining & find out where all of these supplies are going. Cuomo working hard!","covid, health"
"Three — that's how many times President Trump asked foreign governments to interfere in our political process.

Why? Because he's scared. He knows Joe Biden will beat him like a drum. #DemDebate","governance, foreign policy"
"The problem isn't the letter. The problem is the man who wrote it has control of our nuclear weapons, our armed forces, and our treasury. Every day he is president, we are all in danger.",military
"We have a president who believes he is above the law and that there is no limit to his power.

He is wrong. We cannot let him get away with this.

Chip in to help us beat him like a drum: https://joe.link/31QYXXM",governance
Aaannnd Richmond came out tonight! Amazing stand room only crowd of Virginians gave us a warm welcome! Next stop: Colorado Springs tomorrow! #StandWithTulsi,no topic
"Tell Jennifer Williams, whoever that is, to read BOTH transcripts of the presidential calls, & see the just released statement from Ukraine. Then she should meet with the other Never Trumpers, who I don’t know & mostly never even heard of, & work out a better presidential attack!",governance
"ICYMI: Yesterday, we released a plan to secure opportunity for Latinos across the country.",social cultural
"The big banks didn't need an additional $32 billion in savings, and their shareholders certainly didn't need an extra $21.5 billion in payouts.

It's time we ensure corporations pay their fair share and that our country rewards work — not wealth.",economic
"Cryin Chuck Schumer, compared to what other Senators have brought home to their states, has brought very little back to N.Y. A totally overrated loser, the one thing he has given them is SALT. He never even called me to stop it. No wonder Cuomo & most others can’t stand him. AOC!",no topic
I will always choose hope over fear.,no topic
We need to start rebuilding trust by putting forward ideas that will actually improve people's lives.,no topic
"I’m proud that today, our campaign is launching HBCU Students for Biden. This program will be dedicated to helping HBCU students throughout the country learn how to organize for our campaign. 

Sign up here: https://joe.link/hbcu","education, social cultural"
"I’ve had a chance to get to know Bernie over the years. We were in the Senate together before Barack and I took office, and of course, I had known him from his work in the House. What I liked about Bernie was that he said what he believed, no matter who was in the room. I admired his passion. I liked his convictions. I thought people who failed to take him seriously would prove to be sorely mistaken. And, as it turns out, I was right.

Senator Sanders endorsed our campaign today and I want to thank him not just for the endorsement, but for his leadership on making our country a more just, fairer place.

It’s voices like his that refuse to allow us to just accept what is — that refuse to accept we can’t change what’s wrong in our nation — and that refuse to accept the health and well-being of our fellow citizens and our planet isn’t our responsibility too. 

He doesn't get enough credit for being a voice that forces us all to take a hard look in the mirror and ask if we’ve done enough. He has put the interest of the nation — and the need to defeat Donald Trump — above all else. 

I’m excited to continue the work Bernie started in the months and years ahead. As he says: Not me, Us.

And to Bernie’s supporters I make the same commitment: I see you, I hear you, and I understand the urgency of what it is we have to get done in this country. 

I hope you will join us: https://joe.link/2Ru3Tin. You are more than welcome on this campaign. You’re needed.",no topic
"FBI Director Christopher Wray just admitted that the FISA Warrants and Survailence of my campaign were illegal. So was the Fake Dossier. THEREFORE, THE WHOLE SCAM INVESTIGATION, THE MUELLER REPORT AND EVERYTHING ELSE FOR THREE YEARS, WAS A FIXED HOAX. WHO PAYS THE PRICE? This is the biggest political crime in American History, by far. SIMPLY PUT, THE PARTY IN POWER ILLEGALLY SPIED ON MY CAMPAIGN, BOTH BEFORE AND AFTER THE ELECTION, IN ORDER TO CHANGE OR NULLIFY THE RESULTS OF THE ELECTION. IT CONTINUED ON WITH THE IMPEACHMENT HOAX. Terrible!",governance
"Like I said to the Teamsters: When unions are strong, America is strong.",economic
"Cryin’ Chuck Schumer said, “You will pay the price for this. You won’t know what HIT YOU.” That is far beyond simple rhetoric. That is a physical threat, or at least a threat that you better vote for us.” Trouble ahead!",no topic
WORKING TOGETHER STATE BY STATE: In this time of crisis it is up to us to stand up for working people everywhere. Join our virtual town hall with state attorneys general on how we must handle the coronavirus pandemic.,"covid, health, economic"
"I know many are anxious about the spread of the coronavirus and the threat it poses. And my thoughts are with all those affected, our first responders and health care providers who are putting themselves on the line for others, and everyone making sacrifices to stop the spread.

This crisis requires a national response. Not just from our elected leaders, or public health officials—but from all of us. We must follow the guidance of the CDC and health officials and take appropriate precautions to protect ourselves and, critically, to protect others.

The American people have the capacity to meet this moment. We will come together, look out for one another, and harness the ingenuity of our scientists. We can and will meet this challenge—together.","covid, health"
I'm honored to have the support of Common Defense. We must end our endless wars and take care of the veterans who have served our country.,military
"Millions of people are relying on the workers on the front lines of this crisis. Tomorrow, I’ll be joined by a few of them for a virtual town hall. 

Tune in tomorrow at 3PM ET: JoeBiden.com/Live","covid, health"
"Today marks the three-year anniversary of Donald Trump’s discriminatory and misguided Muslim ban. His continued attempts to vilify, demonize, and isolate groups based on their religion makes him a danger to us all.","social cultural, immigration, foreign policy"
"""This is no ordinary campaign. This is a movement that has a spiritual and moral coming together."" -Dr. Cornel West

via Feel the Bern TV",no topic
"Throughout the campaign, I’ve talked a lot about the soul of our nation — we’re seeing that soul on full display. There’s so much good happening — people reaching out to one another, neighbors helping neighbors, caring for those in need. It makes me so proud to be an American.",no topic
Our next president must be a uniter who will bring people together to repair the damage Trump has done and make justice and opportunity real for every American—I’m in this race to be that president.,no topic
We WILL defeat this unseen enemy!,no topic
"A third of delegates are up for grabs tomorrow—and I’m ready to fight for them.

Will you chip in $2 or whatever you can right now? This is your last chance to pitch in before Super Tuesday.",no topic
The Trump presidency will end. We need to make sure the division and dysfunction ends with it. That comes down to how hard we work—especially in these next 13 days—to create a winning movement that unites every American in every community.,no topic
"Tasting holiday treats on the campaign trail at a Philly institution - the Reading Terminal Market. It's a tough job, but someone has to do it. 

I'll take the lot.",no topic
Happy Lunar New Year to all who are celebrating today!,no topic
"President Barack Obama is someone I was proud to call Commander-in-Chief, and someone I was honored to work with to get big things done.

I miss that feeling.",no topic
Happy Sunday! It’s a beautiful day.,no topic
Tune in tonight!,no topic
Today some 87 million Americans remain uninsured or underinsured. The absurdity of our health care system is becoming more and more obvious as we face the challenge of the coronavirus. We need Medicare for All.,"health, covid, social programs"
"I grew up fighting. I grew up out in Oklahoma. 

Of all the people on this stage, I've been a politician the shortest time—but I've been the one out fighting for families the longest. I promise you this—give me a chance, I'll go to the White House, and I'll fight for your family. #DemDebate",no topic
"We can't reckon with our country's past until we learn from it and face it in full.  

We can't take on the injustices of the present until we've confronted the forces of racism and prejudice that have produced them in the past. #BlackHistoryMonth",social cultural
"There is no greater advocate I have in my life than my sister.

Seeing my sister, and so many families with physical and intellectual disabilities out on the campaign trail, work so hard to make sure they live life to their full potential has been a driving force behind my work.

We must do better for those living with disabilities in America. We must fully fund our special education programs. We must provide them expanded access to care. And we must expand the Voting Rights Act to make it easier to cast their ballots. 

For too long, we have overlooked people with disabilities. That must change.","social cultural, education, governance"
This is the hardest thing I have to do as President!,no topic
"It is close to criminal the way they’re dealing with Captain Crozier. He spoke up to protect his sailors — he should have a commendation, not be fired.",no topic
"We can beat Donald Trump.
We can unite this country.
We can restore the soul of this nation.

It all begins tomorrow night in Iowa.",no topic
"Nothing is more heartbreaking than listening to the parent of a child whose life was taken by a gun. Until we get commonsense gun safety laws passed, all of us are responsible. As president, I'll bring an urgency to this issue to save lives.",safety
"Why is Amazon.com stifling talk of climate change within its company? Amazon must acknowledge the damage its business practices are doing to the environment and support its employees. 

It will take collective action to solve this existential crisis.",environmental
"I was born and raised in Oklahoma, on the ragged edge of the middle class. I never imagined I'd be back home as a candidate for president of the United States.",no topic
"When the bullets start flying and the bombs start dropping, terrible things can happen that no one has planned for. This is one of the great tragedies of war. Unintended consequences and so-called ""collateral damage."" #NoWarWithIran #StandWithTulsi",foreign policy
"THE TRUTH ABOUT CORONAVIRUS: Sen. Bernie Sanders hosts a town hall with Rep. Pramila Jayapal (D-Wash.) and public health experts about the coronavirus, how we should respond, and what to expect.","covid, health"
"I'm in this fight because I want our kids to have a brighter future. That's a hope we all share, and I'm grateful to everyone in Manchester who is in this fight for big, structural change.",no topic
"Fox News: “Trump wins major victories in China and USMCA trade deals, defense spending and Space Force.” Thank you!","foreign policy, military"
"The Impeachment Scam is driving Republican Poll Numbers UP, UP, UP! Thank you Shifty.",governance
"From refusing medical care to expanding the definition of “public charge” to justify denying green cards, the Trump administration has enacted an inhumane immigration agenda that has coupled xenophobia with ableism. As president, I'll protect immigrants with disabilities. 
ewar.ren/Disability_Rights_Equality","health, immigration, social cultural"
"I have been criticized recently for my foreign policy record so let me repeat: I make no apologies for opposing the wars in Vietnam, Iraq, Yemen and now trying to prevent a war with Iran.",foreign policy
"In the middle of an international crisis, Donald Trump is trying to bring this country in an authoritarian direction.","governance, covid"
"Newtown. Parkland. Las Vegas.

Enough is enough. We have to take on the NRA and end our gun violence epidemic.",safety
"This fight to save our democracy is an uphill battle. But our campaign is built for the long haul, and we are just getting started. We have the hope that comes with dreaming big—and the courage to fight for the big, structural change we need.",no topic
Will be interviewed by Judge Jeanine tonight at 9:00 P.M. Eastern on Fox News!,no topic
"I ain’t a socialist.

I ain’t a plutocrat.

I’m a Democrat — and I'm proud of it.",no topic
We found the MAGIC WAND!,no topic
"Are you a US Citizen?

Are you at least 18, or will be by November, 2020?

Do you currently live outside the US?

If the answer to all 3 questions is yes, you are eligible to join Democrats Abroad, an organization that affords Americans living abroad a Democratic voice in our government. The upcoming Global Presidential Primary is a lesser known but extremely important way to mobilize voters overseas. 

I need 300 signatures to get on the Democrats Abroad ballot and with your help, I know I can get there ahead of my Jan 6 deadline. If you are an American living abroad OR if you know an American living abroad, please consider taking the following steps:

Register as a Democrat Abroad: https://www.democratsabroad.org/join

Sign my petition: https://www.democratsabroad.org/steyer-petition#",governance
"One of the greatest trade deals ever made! Also good for China and our long term relationship. 250 Billion Dollars will be coming back to our Country, and we are now in a great position for a Phase Two start. There has never been anything like this in U.S. history! USMCA NEXT!","foreign policy, economic"
"As we prepare to reopen America, we have to remember what this crisis has taught us: The administration’s failure to plan, to prepare, to honestly assess and communicate the threat to the nation led to catastrophic results. We cannot repeat those mistakes.","covid, health, safety"
"...and I won’t throw in a free car either. We have an obligation to have people’s backs, be honest about what we can pay for, and be smart about how we do it. #DemDebate",no topic
"I sat down with Cecile Richards to talk about how we must do more to protect the rights of women in this country.

I want to thank Cecile, Refinery29 and Supermajority for having me.",social cultural
Donald Trump will always put his wealthy and well-connected friends first — that should come as no surprise. But to allow the banks to do it on the backs of small business owners in the middle of a global pandemic is a new low — even for him.,"economic, health, covid"
"Today is Holocaust Remembrance Day, which marks the liberation of Auschwitz 75 years ago. We must never forget the horror of  the Holocaust, we must always remember the 6 million Jews and other victims who were killed, and we must vow never again as we fight anti-Semitism.",social cultural
Right To Try has produced some truly spectacular results and we are using it to fight the Invisible Enemy!,"covid, health"
Join our Grassroots Strategy Summit with Campaign Manager Jen O'Malley Dillon. Tune in:,no topic
"Call it a W. Thank you, Texas.",no topic
Ending gun violence is on the ballot. We have to take on the powerful gun lobby and pass common-sense measures that will keep our kids safe. I've beaten the NRA twice — and I'll do it again as president.,safety
"NEW POLL: We’re picking up momentum in the latest national poll.

We’re working as hard as we can to spread our message about building an America where everyone counts.

Join our team ⏩ http://bit.ly/jc2020-hc",no topic
"One great way to help our campaign from anywhere in the country is to phonebank. Sign up and spread the message in your state. Help reach out to supporters and invite them to events in Super Tuesday states, your state could be next! Sign up at tulsi2020.com/phonebank today. Our campaign is people powered and your support truly matters!",no topic
Army Staff Sgt. Christopher Hake was hit by a roadside bomb and made the ultimate sacrifice for our country. To his wife Kelli and his son Gage: Chris will live in our hearts forever.,no topic
"WATCH: Military Families for Trump with Kimberly Guilfoyle, Kelli Hake, and Joe Kent! Veterans for Trump

Text TRUMP to 88022",no topic
“That’s what makes New Hampshire unique. We take picking the next president very seriously.”,no topic
"Here are some facts: There are more Black men under correctional supervision than were enslaved in 1850, and we still treat addiction and mental illness in this country by locking people up instead of giving them access to health care.

We’re not going to fix our broken criminal justice system with lofty promises made during a campaign or a carefully thought out tab on a campaign website—this work is hard. Every single candidate in this race needs to be able to explain why they can be trusted to do this work because it’s bigger than any one of us. This work is about redeeming and repairing, and finally building a justice system that treats all people equally under the law.","safety, social cultural, health"
Heartbreaking news about the utterly tragic passing of the incomparable Kobe Bryant. May he Rest In Peace and God Bless him and his family. Life is so precious.,no topic
"We made it to Dallas, where we're wrapping up our Texas tour with new friends. Thanks to everyone who came out to see us today and who supported us all over the country. 

The stars in Texas are big & bright, and so is America's future. #GetItDone",no topic
"ICYMI: Team Trump Online with Corey Lewandowski, Rep. Matt Gaetz, and Rep. Elise Stefanik!

Text TRUMP to 88022",no topic
"We’re so, so close to reaching our goal for the Democrats Abroad ballot, but still need a final push before petition signing ends on January 6.

The Global Presidential Primary is happening soon, all across the world. Your vote has a huge impact on the outcome of this historic nominating process.

If you are a US Citizen living abroad, or know anyone who is, here’s how you can help make sure I get on the ballot:

Register as a Democrat Abroad: https://www.democratsabroad.org/join

Sign my petition: https://www.democratsabroad.org/steyer-petition",governance
I will be signing our very large and comprehensive Phase One Trade Deal with China on January 15. The ceremony will take place at the White House. High level representatives of China will be present. At a later date I will be going to Beijing where talks will begin on Phase Two!,foreign policy
THANK YOU MISSISSIPPI! #KAG2020,no topic
"""The way forward is a new human-centered version of capitalism that actually uses the markets to improve our families' lives."" #DemDebate",economic
"We will get through this difficult time by looking out for one another and protecting the vulnerable. What is something someone has done to help you, or what have you done to reach out to others?",no topic
"I have won every race, every place, every time.

Every single one of my Republican opponents I’ve beaten has gotten out of politics for good. 

I think that sounds pretty good with the guy we have in the White House right now.",no topic
"Join me in New York City at our campaign HQ and attend a very special event on January 28th. 

Trip includes airfare & one night of hotel accommodations for winner + guest. 

Enter here: mikebloom.bg/Jan28",no topic
"Iain Lanphier aspires to go to the Air Force Academy, and then he has his eye on the Space Force! Sitting behind Iain was his greatest hero of them all. Charles McGee one of the last surviving Tuskegee Airmen, is also Iain's grandfather!",no topic
"Regardless of your politics, you should listen to this longtime public servant. America needs moral clarity.

""To be blunt, an amoral, keep-'em-guessing foreign policy that substitutes threats, fear and confusion for trust cannot work over the long haul.""",foreign policy
Only a few hours left until our contest for a signed Yang 2020 sweatshirt made in collaboration with Donald Glover ends! Donate now for a chance to win! https://yang2020.social/46GiveawaySocial,no topic
"Glad to have The Charlotte Post's endorsement. 

North Carolinians are ready to defeat Donald Trump and rebuild America. Together, we will #GetItDone!",no topic
"Republicans feel that Social Media Platforms totally silence conservatives voices. We will strongly regulate, or close them down, before we can ever allow this to happen. We saw what they attempted to do, and failed, in 2016. We can’t let a more sophisticated version of that happen again. Just like we can’t let large scale Mail-In Ballots take root in our Country. It would be a free for all on cheating, forgery and the theft of Ballots. Whoever cheated the most would win. Likewise, Social Media. Clean up your act, NOW!!!!",governance
White House news conference at 5:30 P.M. Eastern. Thank you!,no topic
Family gathering.,no topic
"This is the most consequential election of our lifetimes. And winning means having the resources to win the Caucuses and take on Trump. 

If you’re with me, please chip in. This is the most important fundraising deadline of our campaign and we need all hands on deck:",no topic
"I keep listening to the same debate on Medicare for All but it’s not real. Two-thirds of Senate Democrats aren’t on the bill. It would kick 149 million Americans off their current health insurance in 4 years. 

I will build on the Affordable Care Act—not blow it up. #DemDebate","health, social programs"
"Over a year since launching this campaign, I'm more optimistic than ever because of our grassroots movement here in Iowa City, and all across the country. It’s made me a better candidate—and you’ll make me a better president.",no topic
"Everyone thinks I have a massive data operation fueling my campaign.

But really it’s just Oz Pearlman predicting the future.",no topic
Tonight at 8:30pm EST I'll be live on a video call to provide a campaign update and take questions from supporters across the country. RSVP here:,no topic
"What I said in 1990 is true today: there is no reason why the United States of America, the wealthiest country in the history of the world, cannot make health care a right for all. All it takes is the political will.","health, social programs"
"The only people on this debate stage who have won every single election that they've been in are the women.

We need a candidate who will excite all parts of the Democratic Party, bring everyone in, and give everyone a Democrat to believe in. That's my plan—and that is why I’m going to win. #DemDebate",no topic
"Today is #WrongfulConvictionDay, a day to acknowledge the ways the justice system continues to fail innocent people around the country. The job of a prosecutor is to uphold justice, not obstruct it. Prosecutors: do your job.",safety
"The Trump administration wants to weaken the law that bars American companies from bribing foreign officials. That’s corruption, plain and simple. I have a plan to reform our global financial system—and fight corruption at home and abroad.","economic, governance, foreign policy"
"Tulsi Gabbard LIVE on the road - Coffee & Toffee with Tulsi - West Branch, IA

Stand with Tulsi - Donate here: https://tulsi.to/donate-now

Join Tulsi in a conversation with friends in West Branch, IA. Tune in to our livestream.

#TulsiGabbard #TULSI2020 #Tulsi #Iowa",no topic
BIG WINS ON SUPER TUESDAY: Bernie reacts to the Super Tuesday results and gives an update on how we will win the nomination.,no topic
"The American people have not forgotten that just two years ago, Republicans gave a trillion dollars in tax breaks to the top 1% and large corporations. Now, as we face this terrible crisis, we are not going to let them punish low-income workers. A great nation is not judged by how many billionaires it has. It is judged by how it takes are of working people and the most vulnerable.",economic
"LOUISIANA — Tomorrow, you will head to the polls and VOTE to REPLACE Liberal Democrat John Bel Edwards with a great new REPUBLICAN Governor! Get out and vote for either Ralph Abraham or Eddie Rispone (BOTH GREAT)!",no topic
"My friends and colleagues Kamala Harris and Cory Booker have led the fight to repair the damage done by failed anti-marijuana policies. I am proud to support the MORE Act and the Marijuana Justice Act, and will continue to fight for those reforms as president.",safety
"As I have said from the beginning of this campaign, Donald Trump is the most dangerous president in our modern history, he must be defeated, and I will do everything in my power to make that happen. On Sunday night in the first one on one debate on this campaign, the American people will have the opportunity to see which candidate is best positioned to accomplish that goal.",no topic
"This is your campaign. 

Together, we will win.",no topic
"Communities on the front lines of the climate crisis have already faced industrial pollution, devastating floods, ruined lands, and poisoned water.

Justice cannot be an afterthought in our fight against climate change—it must be central to our fight. ewar.ren/envi-justice","environmental, safety"
We will overcome this — together.,no topic
"On my way back to Iowa. 

It’s #Phase4. Let’s do this: p4a.us/Iowa-9",no topic
Evelyn has requested I never cook again...,no topic
"There is a long history of mistakes in capital punishment, especially when it comes to Black and Brown people. Rodney Reed's execution should be halted—and it's time to end the death penalty for good.","social cultural, safety"
We have to make sure that no hospital or health care provider can discriminate against someone simply because of who they are or whom they love. #EqualityTownHall,"health, social cultural"
"Join me LIVE in Minneapolis, MN!

Text TRUMP to 88022 for Campaign Updates!",no topic
We owe so much to every single worker on the front lines of this crisis. The least we can do is provide them the pay and protection they need and deserve. Here's what I would do if I were president:,"health, covid, economic"
"Thank you to the Coalition for Humane Immigrant Rights for your powerful work advocating for immigrant rights, and for sharing your stories with me. Together, we can build an America where every person has value—an America that’s about creating opportunity for everyone.",immigration
"""We need to have the jobs of the future be organized around what we want to do, what our communities need and value, as opposed to some narrow idea of what the market values.""  #YangGang",economic
"Trump from the very beginning downplayed the threat of this virus, and I think his inaction has cost the lives of many, many Americans. A serious president would listen to and bring together the experts in this country and around the world, not undermine the doctors and the scientists who are trying to help the American people.","covid, health"
"We need to stand up to politicians who lead by following polls—regardless of party.

We need to buy back every single AR-15 and AK-47.",safety
"Trump's economy is not as strong as he claims: wages are stagnant and jobs are clustered in too few places.

We must build an economy that works for all Americans, all across the country.",economic
